"Tema","Indicador","Localidade","Ano","D0_R","D0_A","D1_R","D1_A","D2_R","D2_A","D3_R","D3_A","D4_R","D4_A","D5_R","D5_A","D6_R","D6_A","D7_R","D7_A","D8_R","D8_A","D9_R","D9_A","D10_R","D10_A"
2,1,2803609,2018,277,277,137,137,140,140,4,4,4,4,0,0,159,159,110,110,263,263,14,14,0,0
2,1,3301900,2018,1745,1745,201,201,912,912,10,10,420,420,0,0,920,920,395,395,1497,1497,247,247,1,1
2,1,2408003,2018,4753,4753,2293,2293,2460,2460,8,8,1695,1695,3,3,1924,1924,1123,1123,4256,4256,488,488,9,9
2,1,3550704,2018,2208,2208,1094,1094,1114,1114,7,7,1124,1124,2,2,715,715,360,360,2160,2160,48,48,0,0
2,2,2803609,2018,961,961,323,323,361,361,1,1,25,25,0,0,231,231,427,427,45,45,602,602,37,37
2,2,3301900,2018,5389,5389,2654,2654,2735,2735,10,10,1272,1272,1,1,2870,2870,1236,1236,223,223,4755,4755,411,411
2,2,2408003,2018,7309,7309,3525,3525,3784,3784,14,14,2579,2579,1,1,3478,3478,1237,1237,196,196,6503,6503,610,610
2,2,3550704,2018,2649,2649,1334,1334,1315,1315,17,17,1345,1345,4,4,855,855,428,428,75,75,2406,2406,168,168
2,3,2803609,2018,"44,4","44,4",,,,,,,,,,,,,,,,,,,,
2,3,3301900,2018,"41,2","41,2",,,,,,,,,,,,,,,,,,,,
2,3,2408003,2018,"70,7","70,7",,,,,,,,,,,,,,,,,,,,
2,3,3550704,2018,"72,3","72,3",,,,,,,,,,,,,,,,,,,,
2,4,2803609,2018,60,60,,,,,,,,,,,,,,,,,,,,
2,4,3301900,2018,"45,6","45,6",,,,,,,,,,,,,,,,,,,,
2,4,2408003,2018,"73,5","73,5",,,,,,,,,,,,,,,,,,,,
2,4,3550704,2018,"90,2","90,2",,,,,,,,,,,,,,,,,,,,
3,10,2803609,2017,"51,5","51,5",,,,,,,"61,5","61,5",,,51,51,,,,,,,,
3,10,3301900,2017,"63,5","63,5",,,,,,,"78,4","78,4",,,"58,5","58,5","81,8","81,8",,,,,,
3,10,2408003,2017,"63,3","63,3",,,,,70,70,66,66,,,"61,7","61,7","67,8","67,8",,,,,,
3,10,3550704,2017,"82,4","82,4",,,,,,,"82,3","82,3",,,"82,6","82,6",,,,,,,,
1,5,2803609,2019,3,3,,,,,,,,,,,,,,,,,,,,
1,5,3301900,2019,6,6,,,,,,,,,,,,,,,,,,,,
1,5,2408003,2019,13,13,,,,,,,,,,,,,,,,,,,,
1,5,3550704,2019,3,3,,,,,,,,,,,,,,,,,,,,
1,6,2803609,2019,1640,1640,799,799,841,841,,,,,,,,,,,,,,,,
1,6,3301900,2019,8909,8909,4366,4366,4543,4543,,,,,,,,,,,,,,,,
1,6,2408003,2019,9016,9016,4364,4364,4652,4652,,,,,,,,,,,,,,,,
1,6,3550704,2019,1933,1933,965,965,968,968,,,,,,,,,,,,,,,,
